# Configuration: 
# use_weighted_loss=True, use_class_balancing=False
# imbalance_ratio=3.43, early_stopping_patience=7
# early_stopping_delta=0.001, early_stopping_triggered=True
# stopped_epoch=25, best_val_loss=0.37398507044865537
epoch,train_loss,val_loss,val_accuracy,epoch_time,early_stopping_counter
1,1.7848191877690758,1.4344716782753284,47.18482208251953,190.03715109825134,0
2,1.2787860739521864,1.0669663433845227,60.5875129699707,180.83132457733154,0
3,1.0276947774538179,0.8910103795620111,67.8090591430664,180.54866194725037,0
4,0.8584554643165775,0.7615723483837568,73.56181335449219,181.11265444755554,0
5,0.7491117385829368,0.6708713196791135,75.5813980102539,179.92170119285583,0
6,0.6402405298337703,0.6166483931816541,77.90697479248047,180.2303273677826,0
7,0.5774366718966787,0.5603625419048163,79.92655944824219,181.21421909332275,0
8,0.5145186867655778,0.5285908098404224,80.96695709228516,180.50656747817993,0
9,0.46161870963689755,0.4908649749480761,83.04773712158203,180.25731706619263,0
10,0.414685475898952,0.47921334035121477,83.5373306274414,180.95815229415894,0
11,0.37741402823750564,0.46572033487833464,84.14933013916016,180.31688523292542,0
12,0.34248471703471206,0.4321836405075513,85.80171203613281,181.1951036453247,0
13,0.32064342346133257,0.4226575241639064,86.10771179199219,181.45474815368652,0
14,0.29335372149944305,0.41812559733024013,86.35250854492188,181.20060873031616,0
15,0.2632855409892594,0.40514823163931185,87.33170318603516,182.0932331085205,0
16,0.24643791361552914,0.39293444328583205,87.6376953125,181.9222867488861,0
17,0.23525489339741265,0.3842546297953679,87.51529693603516,179.35495448112488,0
18,0.21723394768267143,0.37398507044865537,88.24969482421875,180.04150867462158,0
19,0.19705622645049561,0.3861120864748955,88.55569458007812,179.92654538154602,0
20,0.1911149675889713,0.38966134190559387,88.98409271240234,179.63508129119873,1
21,0.18739592611062816,0.3842439078367673,89.41248321533203,180.1640751361847,2
22,0.163439714926772,0.39149652077601504,88.92288970947266,180.5909731388092,3
23,0.1570400975235715,0.3932954892516136,88.67809295654297,180.46149611473083,4
24,0.15198227164403694,0.39256631984160495,89.53488159179688,180.98269867897034,5
25,0.14543111913996498,0.39832721478663957,88.98409271240234,180.24388003349304,6
